[myApp] 2026-06-09 10:17:00	ERROR	gorm/2.小试牛刀.go:34	assasa
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:18:10	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:58	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:19:59	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:06	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:16	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:20:23	INFO	utils/init.go:29	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
[myApp] 2026-06-09 10:25:54	INFO	utils/init.go:30	asasas
